Entity,Day,Daily new confirmed cases of COVID-19
Indonesia,5-nov.-20,4065
Indonesia,6-nov.-20,3778
Indonesia,7-nov.-20,4262
Indonesia,8-nov.-20,3880
Indonesia,9-nov.-20,2853
Indonesia,10-nov.-20,3779
Indonesia,11-nov.-20,3770
Indonesia,12-nov.-20,4173
Indonesia,13-nov.-20,5444
Indonesia,14-nov.-20,5272
Indonesia,15-nov.-20,4106
Indonesia,16-nov.-20,3535
Indonesia,17-nov.-20,3807
Indonesia,18-nov.-20,4265
Indonesia,19-nov.-20,4798
Indonesia,20-nov.-20,4792
Indonesia,21-nov.-20,4998
Indonesia,22-nov.-20,4360
Indonesia,23-nov.-20,4442
Indonesia,24-nov.-20,4192
Indonesia,25-nov.-20,5534
Indonesia,26-nov.-20,4917
Indonesia,27-nov.-20,5828
Indonesia,28-nov.-20,5418
Indonesia,29-nov.-20,6267
Indonesia,30-nov.-20,4617
Indonesia,1-déc.-20,5092
Indonesia,2-déc.-20,5533
Indonesia,3-déc.-20,8369
Indonesia,4-déc.-20,5803
Indonesia,5-déc.-20,6027
Indonesia,6-déc.-20,6089
Indonesia,7-déc.-20,5754
Indonesia,8-déc.-20,5292
Indonesia,9-déc.-20,6058
Indonesia,10-déc.-20,6033
Indonesia,11-déc.-20,6310
Indonesia,12-déc.-20,6388
Indonesia,13-déc.-20,6189
Indonesia,14-déc.-20,5489
Indonesia,15-déc.-20,6120
Indonesia,16-déc.-20,6725
Indonesia,17-déc.-20,7354
Indonesia,18-déc.-20,6689
Indonesia,19-déc.-20,7751
Indonesia,20-déc.-20,6982
Indonesia,21-déc.-20,6848
Indonesia,22-déc.-20,6347
Indonesia,23-déc.-20,7514
Indonesia,24-déc.-20,7199
Indonesia,25-déc.-20,7259
Indonesia,26-déc.-20,6740
Indonesia,27-déc.-20,6528
Indonesia,28-déc.-20,5854
Indonesia,29-déc.-20,7903
Indonesia,30-déc.-20,8002
Indonesia,31-déc.-20,8074
Indonesia,1-janv.-21,8072
Indonesia,2-janv.-21,7203
Indonesia,3-janv.-21,6877
Indonesia,4-janv.-21,6753
Indonesia,5-janv.-21,7445
Indonesia,6-janv.-21,8854
Indonesia,7-janv.-21,9321
Indonesia,8-janv.-21,10617
Indonesia,9-janv.-21,10046
Indonesia,10-janv.-21,9640
Indonesia,11-janv.-21,8692
Indonesia,12-janv.-21,10047
Indonesia,13-janv.-21,11278
Indonesia,14-janv.-21,11557
Indonesia,15-janv.-21,12818
Indonesia,16-janv.-21,14224
Indonesia,17-janv.-21,11287
Indonesia,18-janv.-21,9086
Indonesia,19-janv.-21,10365
Indonesia,20-janv.-21,12568
Indonesia,21-janv.-21,11703
Indonesia,22-janv.-21,13632
Indonesia,23-janv.-21,12191
Indonesia,24-janv.-21,11788
Indonesia,25-janv.-21,9994
Indonesia,26-janv.-21,13094
Indonesia,27-janv.-21,11948
Indonesia,28-janv.-21,13695
